_id,Date,Time,BODY,COVER,12T NB,12T WB,26T,28T,LPM,WP1,BP1,BP2,Noise,Box No,Insertion Date,Insertion Time
66dac51854e88d4317ae7a18,NA,NA,2407398,2408054,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,4,2024-09-06,14:32:16.871209
66dac51854e88d4317ae7a15,2024-09-06,14:54,2407395,2408054,2E24,2E24,2D24,2E24,79.68,242,321,323,80.0,1,2024-09-06,14:32:16.871209
66dd3c23eaa3cb3fa571b99a,NA,NA,24073101,2408054,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,0,2024-09-08,11:24:43.384683
66dd378738b3563d6350e9c5,NA,NA,24073100,2408054,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,0,2024-09-08,11:05:03.731888
66dd4602ef1420ba6cf53b0e,NA,NA,24073100,2408054,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,0,2024-09-08,12:06:50.370838
