Date,Time,BODY,COVER,12T NB,12T WB,26T,28T,LPM,WP1,BP1,BP2,Noise,Box No
NA,NA,2406145,C 0424079,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,19
NA,NA,2406036,C 0624129,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,14
NA,NA,2406183,C 0624129,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,49
NA,NA,2406157,C0624076,2F24,2E24,2D24,2E24,NA,NA,NA,NA,NA,23
